spa,guc
ve,o'unaa
vete,pu'unaa
vaya,pu'unaa ma
vayase,pu'unaa'ma yaaje
hola,jamaan
corre,puwataa
corran,jawataa
corra,puwataa
corred,puwataawaa
corred,puwataawa
quien,jaralii
orale,aishajaa
fuego,siki
incendio,achuwajawaa
disparad,püsoneera
ayuda,akaaliijaa
socorro auxilio,akaaliijaawa
auxilio,akaaliijaawa
salta,puwataa
salte,awaneera
parad,püsha'wala
para,püshawalawa
pare,püshawala'ma
espera,a'atapajaawa
esperen,ja'atapajaa taya
continua,mayaa
continue,mayaa
hola,jamaya
date prisa,kakuwaa
daos prisa,kakuwaata
dese prisa,püaülaa
me oculte,ounjulashi taya
me escondi,anujulaashi taya
me ocultaba,ounjulaapünashi taya
me escondia,anujulaapünashi taya
corri,awataashi taya
corria,awatapünashi taya
lo intento,too'ulaküin
he ganado,akanajüshi taya
oh no,nnojo
tomatelo con soda,püsapan sümaa soda
fuego,siki
disparad,püsoneera
disparen,jasoneera'ma
dispara,pujuta
dispara,pujuta
dispare,pujuta
sonrie,pukulemaraa
al ataque,pushutapa
atacad,pushuta
ataque,pushuta
ataquen,jashuta
ataca,pushuta
levanta,piyaleran
ve ahora mismo,pu'una joolu'ukana'aya
id ahora mismo,pu'una joolu'ukana'aya
vaya ahora mismo,pu'una joolu'ukana'aya
vayan ahora mismo,jo'una joolu'ukana'aya
ve ya,pu'una joolu'u
id ya,pu'una joolu'u
vaya ya,pu'una joolu'u
vayan ya,jo'una joolu'u
lo tengo,ani tama'ana
lo pillas,pütaülüin
entendiste,pütüjaulun
el corrio,awataashi
metete adentro,pikerolo paülü'ümüin
abrazame,pujuupajaa taya
me preocupo,shiwaatüsü taa'in
me cai,ajutuushi taya
hui,a'luwataashi taya
me escape,a'luwataashi taya
huia,a'luwataapu'ushi taya
me escapaba,a'luwataapu'ushi taya
yo lo se,tatüjaa o'u
sali,ojuitüshi taya
menti,taküjüin ta'alain
perdi,akanajuushi taya
dimito,tojoloo oulialü
renuncie,ojolooshi taya
lo dejo,toulaain
cante,e'irajüshi taya
llore,a'yalajüshi taya
lloraba,a'yalajapu'ushi taya
estoy trabajando,a'yataashi taya
tengo diecinueve,po'oloo mekiisalüichi taya
estoy levantado,atamaaichipa taya
escucha,paapaja
escuche,paapaja
escuchen,jaapaja
no puede ser,nnojotaasü müin yaa
de ninguna manera,nnojotsü süpüla müin yaa
de ninguna manera,nnojotaasü süpüla müin yaa
imposible,isasü achikirün
de ningun modo,nnojottaajeerü müin yaa
de eso nada,nnojotsü ti'a
ni cagando,e'itaichi te'iitüin
mangos,monkoirua
minga,mawalaatasalü
ni en pedo,e'itaichi toorolüin
en serio,shiimüin
la verdad,shiimüinkalü
gracias,analu'ulu pümüin
gracias,analu'ulu pümüin
pruebalo,pu'ulukan
lo procuramos,wasakira anairün
ganamos,akanajüshii waya
por que yo,jamakaa tayainjachin
preguntale a tom,püsakira tom
orale,aishajaa
mantente en calma,piimalaa paa'in
estate tranquilo,jimata pia
se justo,pansaa pukuwa'ipa
se bueno,ana pia
se buena,ana pia
sed buenas,ana jaya
sed buenos,ana jayairua
sea buena,ana pia
sea bueno,ana pia
sean buenas,ana jayairua
sean buenos,ana jiairua
sean gentiles,kamanee jiairua
se agradable,anakuwa'ipalü jiairua
pirate,isa pia
llamame,peenaja taya
llamadme,peenaja taya
llamame,peenaja taya
llamanos,jeenaja waya
entre,pu'utaa
pase,pu'utaa
entren,joutaa
orale,aishajaa
andale,aishajaa
orale,aishajaa
sueltalo,püjüta ichiki
agarra a tom,pütaüla tom
bajate,püshakata
salte,pujuita
sal,pujuitapa
sali,pujuitapa
salid,pujuitapa
salgan,jojuitapa
vete de aqui,pu'una yaajee yaa
largate,pu'unale'ella
salga de aqui,pujuitapa yaajee yaa
largo,pu'unapa
vete ya,pu'una joolu'ukana'aya
orale,aishajaa
a la calle,kaayelu'umüin
vete de aqui,pu'una yaajee yaa
largate,pu'unale'eya
largo,pu'unapa
vete ya,pu'unapa joolu'ukana'aya
orale,aishajaa
larguese,pu'unale'eya
vayase,pu'unapa
vete a casa,pu'una miichipa'amüin
vaya despacio,jayatta'a pia
hasta luego,apaaji'raashii waya
hasta la vista,e'rajiraajeena waya
chau,wane ka'iya'asa
espera,pa'atapaja
espera un momento,pa'atapaja paala
un segundo,pa'atapaja motsomüin
agarra fuertemente,püchecheraa
el vino,antüshi
el renuncio,o'ulaashi
ayudame,pükaaliija taya
ayudame,pükaaliija taya
echame una mano,pükaaliija taya
ayudame,pükaaliija taya
ayudanos,pükaaliija waya
hola tom,jamayaa tom
golpea a tom,pi'iyaata tom
espera,pa'atapaja
sostenlo,pajapülü'üjapan
sostenedlo,pajapülü'üjapan
sostengalo,pajapülü'üjapan
